company_name,official_url,recruit_page,medical_keywords,medical_keyword_count,medical_domains,medical_domain_scores,total_medical_score
ヤフー（医療情報）,https://www.yahoo.co.jp/,https://www.lycorp.co.jp/ja/recruit/,,1,,{},18
Google Japan（ヘルスケア）,https://about.google/,https://careers.google.com/?utm_source=about&utm_medium=referral&utm_campaign=footer-link,,1,,{},18
Amazon Japan（ヘルスケア）,https://www.amazon.co.jp/,https://www.amazon.co.jp/gp/browse.html?node=5578935051&ref_=navfooter_267319_t1,ヘルスケア,1,,{},24
Microsoft Japan（ヘルスケア）,https://www.microsoft.com/ja-jp/,https://careers.microsoft.com/,,1,,{},18
三菱電機（医療システム）,https://www.mitsubishielectric.co.jp/,https://www.mitsubishielectric.co.jp/saiyo/,,1,,{},18
三井化学（医療材料）,https://jp.mitsuichemicals.com/,https://jp.mitsuichemicals.com/jp/career/index.htm,,1,,{},18
住友化学（医療材料）,https://www.sumitomo-chem.co.jp/,https://www.sumitomo-chem.co.jp/recruit/,,1,,{},18
旭化成（医療・医薬）,https://www.asahi-kasei.com/jp/,https://www.asahi-kasei-jobs.com/top.html,,1,,{},18
東レ（医療材料）,https://www.toray.co.jp/,,,1,,{},18
クラレ（医療材料）,https://www.kuraray.co.jp/,https://www.kuraray.co.jp/jp-ja/recruit/,,1,,{},18
積水化学工業（医療）,https://www.sekisui.co.jp/,,,1,,{},18
三菱ケミカル（医療材料）,https://www.mcgc.com/,,,1,,{},18
JSR（バイオ・医療材料）,https://www.jsr.co.jp/,,,1,,{},18
信越化学工業（医療材料）,https://www.shinetsu.co.jp/,https://www.shinetsu.co.jp/jp/recruit,,1,,{},18
ヤマト運輸（医療物流）,https://www.yamato-hd.co.jp/,https://www.yamato-hd.co.jp/recruit/,,1,,{},18
佐川急便（医療物流）,https://www.sg-hldgs.co.jp/,https://www.sg-hldgs.co.jp/recruit/,,1,,{},18
日本郵便（医療配送）,https://www.post.japanpost.jp/,,,1,,{},18
日通（医療物流）,https://www.nittsu.co.jp/,,,1,,{},18
日本ロジテム（医療物流）,https://www.logitem.co.jp/,,,1,,{},18
センコー（医療物流）,https://www.senko.co.jp/,,,1,,{},18
トランコム（医療物流）,https://www.trancom.co.jp/,https://www.trancom.co.jp/recruit/,,1,,{},18
鴻池運輸（医療物流）,https://www.konoike.net/,https://www.konoike.net/recruit/,検査,1,,{},24
丸和運輸機関（医療物流）,https://www.maruwa-unyu.co.jp/,,,1,,{},18
SBSホールディングス（医療物流）,https://www.sbs-group.co.jp/,https://www.sbs-group.co.jp/sbshlds/recruit/,,1,,{},18
ダイキン（空調・医療環境）,https://www.daikin.co.jp/,https://www.daikin.co.jp/recruit,,1,,{},18
三菱重工（医療設備）,https://www.mhi.com/jp/,https://www.mhi.com/jp/recruit,,1,,{},18
川崎重工（医療ロボット）,https://www.khi.co.jp/,,,1,,{},18
安川電機（医療ロボット）,https://www.yaskawa.co.jp/,https://www.yaskawa.co.jp/jobs,,1,,{},18
ファナック（ロボット・医療）,https://www.fanuc.co.jp/,https://www.fanuc.co.jp/ja/employ/index.html,,1,,{},18
オークマ（精密機器）,https://www.okuma.co.jp/,https://www.okuma-saiyou.jp/,,0,,{},12
DMG森精機（精密医療部品）,https://www.dmgmori.co.jp/,https://www.dmgmori.co.jp/corporate/recruit/,,1,,{},18
THK（医療機器部品）,https://www.thk.com/,,,1,,{},18
日本精工（医療部品）,https://www.nsk.com/jp/,https://www.nsk.com/jp-ja/products/linear/monocarriers/,,1,,{},18
NTN（医療部品）,https://www.ntnglobal.com/jp/,,,1,,{},18
東京エレクトロン（医療材料製造）,https://www.tel.co.jp/,https://careers-tel.jp/,,1,,{},18
SCREENホールディングス（医療材料）,https://www.screen.co.jp/,https://www.screen.co.jp/recruit_info,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
ニコン（医療光学）,https://www.nikon.co.jp/,,,1,,{},18
キヤノン（医療機器）,https://global.canon/ja/,https://global.canon/ja/employ/,,1,,{},18
富士フイルム（医療）,https://www.fujifilm.com/jp/ja/healthcare,https://www.fujifilm.com/jp/ja/about/careers,"医療,臨床,ヘルスケア,診断,検査,画像診断",6,,{},81
HOYA（医療光学）,https://www.hoya.co.jp/,https://www.hoya.com/recruit/,"医療,介護",2,介護・福祉,{'介護・福祉': 1},36
浜松ホトニクス（医療光学）,https://www.hamamatsu.com/,,,1,,{},18
オリンパス（医療光学）,https://www.olympus.co.jp/,,,1,,{},18
シスメックス（検査機器）,https://www.sysmex.co.jp/,,,0,,{},12
日本光電（医療機器）,https://www.nihonkohden.co.jp/,https://www.nihonkohden.co.jp/ja/recruit.html,"医療,医療機器",2,医療機器メーカー,{'医療機器メーカー': 1},36
大和ハウス（医療施設建設）,https://www.daiwahouse.co.jp/,,,1,,{},18
積水ハウス（医療施設）,https://www.sekisuihouse.co.jp/,https://www.sekisuihouse.co.jp/recruit/,"医療,介護",2,介護・福祉,{'介護・福祉': 1},36
清水建設（医療施設）,https://www.shimz.co.jp/,https://www.shimz.co.jp/recruit/,,1,,{},18
大林組（医療施設）,https://www.obayashi.co.jp/,https://www.obayashi.co.jp/recruit/,,1,,{},18
鹿島建設（医療施設）,https://www.kajima.co.jp/,https://www.kajima.co.jp/recruit/index-j.html,,1,,{},18
竹中工務店（医療施設）,https://www.takenaka.co.jp/,,,1,,{},18
前田建設（医療施設）,https://www.maeda.co.jp/,https://www.maeda.co.jp/recruit/,,1,,{},18
戸田建設（医療施設）,https://www.toda.co.jp/,,,1,,{},18
長谷工コーポレーション（医療施設）,https://www.haseko.co.jp/,https://www.haseko.co.jp/hc/recruit/,,1,,{},18
大成建設（医療施設）,https://www.taisei.co.jp/,,,1,,{},18
オリックス（医療機器レンタル）,https://www.orix.co.jp/,,,1,,{},18
三井住友ファイナンス＆リース（医療）,https://www.smfl.co.jp/,https://www.smfl-saiyo.jp/,,1,,{},18
東京センチュリー（医療機器）,https://www.tokyocentury.co.jp/,,,1,,{},18
芙蓉総合リース（医療機器）,https://www.fgl.co.jp/,,,1,,{},18
日医工（医療材料）,https://www.nichiiko.co.jp/,https://www.nichiiko.co.jp/recruit/,"医療,患者",2,,{},30
共和（医療材料）,https://www.kyowa-ltd.co.jp/,https://www.kyowa-ltd.co.jp/recruit/,医療,1,,{},24
日本バイリーン（医療材料）,https://www.vilene.co.jp/,https://recruit.vilene.co.jp/,,1,,{},18
アズワン（医療用品）,https://www.as-1.co.jp/,https://www.as-1.co.jp/recruit/,"医療,看護",2,,{},30
サクラ精機（医療設備）,https://www.sakuraseiki.com/,,,1,,{},18
ホギメディカル（医療用品）,https://www.hogy.co.jp/,,,1,,{},18
